name,link
Life Sciences,#
Autoclave Equipment,/autoclave-equipment
Autoradiography Film,/autoradiography-film
Bags,/bags
Balances & Accessories,/balances-and-accessories
Bath Beads,/bath-beads
Baths,/baths
Beakers,/beakers
Bioreactors,/bio-reactors
Blocks,/blocks
"Bottles, Carboys & Jars",/bottles-carboys-and-jars
Calibration Weights,/calibration-weights
Carts,/carts
Cell Culture,/cell-culture
Celltreat Plastics,/celltreat-plastics-cell-and-tissue-culture
Centrifuge,/centrifuge
"Clamps, Supports & Stands",/clamps-supports-and-stands
Cover Glass,/cover-glass
Culture Tubes,/hungateanaerobicculture-tubes
Cylinders,/cylinders
Detergent,/detergent
Dish,/dish
Dispensers,/dispensers
Electrophoresis,/electrophoresis-system
Electroporation Cuvettes,/electroporation-cuvettes
Filling Bell,/filling-bell
Flasks,/flasks
Fluid Aspirator Systems,/fluid-aspirator-systems
Freezer Boxes & Racks,/freezer-boxes-and-racks-refigerator
Funnels,/funnels
Gel Boxes,/gel-boxes
Gloves,/gloves
Hemocytometer,/hemocytometer
Homogenizer,/homogenizer
"Hot Plates, Stirrers & Accessories",/hot-plates-stirrers-and-accessories
Incubators,/incubators
Inoculating Loops - Needles,/inoculating-loops-needles
"Lab Jack, Support",/lab-jack-support
"Labels & Tape, Laboratory",/labels-and-tape-laboratory
Liquid Handling,/liquid-handling
Melting Point Apparatus,/melting-point-apparatus
Microbiology,/microbiology
Microplates,/microplates
Microscope Slides,/microscope-slides
Microscopy,/microscopy-glass-bottom-dishes
Microtubes,/microtubes
Mosquito Feeder,/mosquito-feeder-glass
O-Rings,/o-rings
Ovens,/ovens
PCR,/pcr
pH Meters & Probes,/ph-meters-and-probes
Pipets,/pipets
Plastics,/plastics
Probes,/probes
Pumps,/pumps
Race Tubes,/race-tubes
Rack,/rack
Refrigerators - Freezers,/refrigerators-freezers
Reservoirs,/reservoirs
Rockers,/rockers-cell-culture
Rollers,/rollers
Rotators,/rotators
Screw Caps & Pouring Rings,/screw-caps-pouring-rings
Sealing Film,/sealing-film
Shakers,/shakers-cell-culture
Spatulas,/spatulas
Spectrophotometers,/spectrophotometers
Spill Trays,/spill-trays
Spinner Flasks,/spinner-flasks
Spot Plates,/spot-plates
Staining Solution,/staining-solution
"Stir Bars, Magnetic",/stir-bars-magnetic
"Stirring, Shaking & Mixing Equipment",/stirring-shaking-and-mixing-equipment
"Stoppers, Septum & Closures",/stoppers-septum-and-closures-laboratory
Syringes,/syringes
Thermal Cycler,/thermal-cycler
Tissue Grinder,/tissue-grinder
"Tubing, Fittings and Hose",/tubing-fittings-and-hose
Tweezers & Forceps,/tweezers-forceps
UV Lamps,/uv-lamps
Vortex Mixers,/vortex-mixers-cell-culture
Waste Disposal,/waste-disposal
Weighing Boats/Dishes,/weighing-boats-dishes
